file,dataset_name,orig_coh,new_coh,orig_target,new_target
1_cough_throw_bones.txt,1_cough_throw bones,old man,middle-aged woman,old woman,middle-aged man
2_stand_weave_basket.txt,2_stand_weave basket,middle-aged man,old man,old man,middle-aged man
3_rest_cook_fish.txt,3_rest_cook fish,middle-aged man,child or teenage man,middle-aged woman,old woman
4_run_drink_tea.txt,4_run_drink tea,middle-aged woman,old man,child or teenage man,child or teenage woman
5_rest_build_wall.txt,5_rest_build wall,old man,middle-aged man,middle-aged man,child or teenage man
6_sleep_pluck_tomatoes.txt,6_sleep_pluck tomatoes,old woman,old man,old man,middle-aged woman
7_sit_make_fire.txt,7_sit_make fire,old man,middle-aged man,old woman,middle-aged woman
8_smile_weave_garland.txt,8_smile_weave garland,middle-aged woman,child or teenage woman,child or teenage woman,old woman
9_descend_harvest_rice.txt,9_descend_harvest rice,old woman,middle-aged man,middle-aged man,middle-aged woman
10_run_cook_pancakes.txt,10_run_cook pancakes,middle-aged man,child or teenage woman,child or teenage woman,child or teenage man
11_ascend_wipe_plate.txt,11_ascend_wipe plate,old woman,child or teenage man,child or teenage man,middle-aged woman
12_come_eat_rice.txt,12_come_eat rice,middle-aged woman,old woman,old man,child or teenage man
13_stand_wash_clothes.txt,13_stand_wash clothes,child or teenage man,child or teenage woman,old woman,middle-aged man
14_ascend_weave_raincoat.txt,14_ascend_weave raincoat,old man,middle-aged man,old woman,child or teenage woman
15_smile_clean_wall.txt,15_smile_clean wall,child or teenage woman,child or teenage man,old man,old woman
16_sleep_wash_dish.txt,16_sleep_wash dish,old man,middle-aged woman,child or teenage woman,child or teenage man
17_rest_hang_picture.txt,17_rest_hang picture,middle-aged man,old man,old woman,child or teenage woman
18_yawn_put_on_cap.txt,18_yawn_put on cap,middle-aged woman,child or teenage woman,old man,middle-aged man
19_sit_crack_egg.txt,19_sit_crack egg,old woman,middle-aged man,child or teenage man,old woman
20_come_plant_sapling.txt,20_come_plant sapling,old man,old woman,middle-aged woman,middle-aged man
21_cough_burn_bottles.txt,21_cough_burn bottles,child or teenage woman,child or teenage man,middle-aged man,middle-aged woman
22_come_push_chest.txt,22_come_push chest,old woman,middle-aged man,old man,old woman
23_stand_tear_paper.txt,23_stand_tear paper,child or teenage man,child or teenage woman,child or teenage woman,child or teenage man
24_descend_paint_bench.txt,24_descend_paint bench,middle-aged woman,old man,middle-aged man,middle-aged woman
25_yawn_lock_door.txt,25_yawn_lock door,middle-aged man,middle-aged woman,middle-aged woman,old man
26_sleep_drag_log.txt,26_sleep_drag log,middle-aged man,old woman,old woman,old man
27_jump_pull_blanket.txt,27_jump_pull blanket,middle-aged man,old woman,child or teenage woman,child or teenage man
28_jump_peel_orange.txt,28_jump_peel orange,middle-aged woman,old man,child or teenage man,child or teenage woman
29_sit_cut_potato.txt,29_sit_cut potato,old woman,middle-aged man,old man,child or teenage woman
30_smile_make_momos.txt,30_smile_make momos,child or teenage man,middle-aged woman,middle-aged woman,old man
